Database,Record Type,Term,Submission Type,Data Element,Value,Percentage of Submission,Count
SDB,1,214,B,DE1001-CITIZENSHIP,A,0.02346135,661
SDB,1,215,B,DE1001-CITIZENSHIP,A,0.02763604,807
SDB,1,112,E,DE1001-CITIZENSHIP,A,0.02271911,569
SDB,1,311,E,DE1001-CITIZENSHIP,A,0.02714901,1185
SDB,1,307,E,DE1001-CITIZENSHIP,C,0.9380267,38294
SDB,1,309,E,DE1001-CITIZENSHIP,C,0.9321097,41285
SDB,1,213,B,DE1001-CITIZENSHIP,C,0.9377583,28822
SDB,1,110,E,DE1001-CITIZENSHIP,C,0.9328308,36136
SDB,1,213,E,DE1001-CITIZENSHIP,C,0.9371143,32039
SDB,1,308,E,DE1001-CITIZENSHIP,C,0.9312044,39687
SDB,1,314,B,DE1001-CITIZENSHIP,C,0.9359521,27663
SDB,1,107,E,DE1001-CITIZENSHIP,C,0.929099,28554
SDB,1,111,E,DE1001-CITIZENSHIP,C,0.9266064,28899
SDB,1,113,E,DE1001-CITIZENSHIP,C,0.9289442,22787
SDB,1,116,E,DE1001-CITIZENSHIP,C,0.9064388,20103
SDB,1,316,B,DE1001-CITIZENSHIP,C,0.9205528,27044
SDB,1,109,E,DE1001-CITIZENSHIP,C,0.9208486,34204
SDB,1,114,B,DE1001-CITIZENSHIP,C,0.9239854,19169
SDB,1,212,E,DE1001-CITIZENSHIP,C,0.9388853,33168
SDB,1,214,E,DE1001-CITIZENSHIP,C,0.92813,31084
SDB,1,215,E,DE1001-CITIZENSHIP,C,0.9227391,28998
SDB,1,108,E,DE1001-CITIZENSHIP,C,0.9217025,28888
SDB,1,114,E,DE1001-CITIZENSHIP,C,0.9247885,20116
SDB,1,206,E,DE1001-CITIZENSHIP,C,0.9361604,34461
SDB,1,214,B,DE1001-CITIZENSHIP,C,0.9291191,26177
SDB,1,215,B,DE1001-CITIZENSHIP,C,0.9238725,26978
SDB,1,112,E,DE1001-CITIZENSHIP,C,0.931084,23319
SDB,1,311,E,DE1001-CITIZENSHIP,C,0.9318182,40672
SDB,1,315,B,DE1001-CITIZENSHIP,C,0.9268501,28154
SDB,1,209,E,DE1001-CITIZENSHIP,C,0.9343225,41369
SDB,1,210,E,DE1001-CITIZENSHIP,C,0.927434,38789
SDB,1,211,E,DE1001-CITIZENSHIP,C,0.9368095,37567
SDB,1,314,E,DE1001-CITIZENSHIP,C,0.9356139,31097
SDB,1,207,E,DE1001-CITIZENSHIP,C,0.9341804,40876
SDB,1,312,E,DE1001-CITIZENSHIP,C,0.9378018,35930
SDB,1,315,E,DE1001-CITIZENSHIP,C,0.9257669,29968
SDB,1,106,E,DE1001-CITIZENSHIP,C,0.9292129,25348
SDB,1,115,E,DE1001-CITIZENSHIP,C,0.9152746,20547
SDB,1,208,E,DE1001-CITIZENSHIP,C,0.9328997,40875
SDB,1,310,E,DE1001-CITIZENSHIP,C,0.9382675,47451
SDB,1,313,E,DE1001-CITIZENSHIP,C,0.9385222,32593
SDB,1,316,E,DE1001-CITIZENSHIP,C,0.9214989,29018
SDB,1,307,E,DE1001-CITIZENSHIP,P,0.03652263,1491
SDB,1,309,E,DE1001-CITIZENSHIP,P,0.03682381,1631
SDB,1,314,B,DE1001-CITIZENSHIP,P,0.04307078,1273
SDB,1,107,E,DE1001-CITIZENSHIP,P,0.03878567,1192
SDB,1,213,B,DE1001-CITIZENSHIP,P,0.04070278,1251
SDB,1,110,E,DE1001-CITIZENSHIP,P,0.03890237,1507
SDB,1,213,E,DE1001-CITIZENSHIP,P,0.03998362,1367
SDB,1,308,E,DE1001-CITIZENSHIP,P,0.03824585,1630
SDB,1,111,E,DE1001-CITIZENSHIP,P,0.04392715,1370
SDB,1,113,E,DE1001-CITIZENSHIP,P,0.04618834,1133
SDB,1,116,E,DE1001-CITIZENSHIP,P,0.05225899,1159
SDB,1,108,E,DE1001-CITIZENSHIP,P,0.04166932,1306
SDB,1,114,E,DE1001-CITIZENSHIP,P,0.04965061,1080
SDB,1,206,E,DE1001-CITIZENSHIP,P,0.03963489,1459
SDB,1,114,B,DE1001-CITIZENSHIP,P,0.05017835,1041
SDB,1,212,E,DE1001-CITIZENSHIP,P,0.04045065,1429
SDB,1,214,E,DE1001-CITIZENSHIP,P,0.04407154,1476
SDB,1,215,E,DE1001-CITIZENSHIP,P,0.04655381,1463
SDB,1,214,B,DE1001-CITIZENSHIP,P,0.04550295,1282
SDB,1,215,B,DE1001-CITIZENSHIP,P,0.04688196,1369
SDB,1,112,E,DE1001-CITIZENSHIP,P,0.04475943,1121
SDB,1,311,E,DE1001-CITIZENSHIP,P,0.03974982,1735
SDB,1,207,E,DE1001-CITIZENSHIP,P,0.03663497,1603
SDB,1,312,E,DE1001-CITIZENSHIP,P,0.0389946,1494
SDB,1,315,E,DE1001-CITIZENSHIP,P,0.04615242,1494
SDB,1,316,B,DE1001-CITIZENSHIP,P,0.04680373,1375
SDB,1,109,E,DE1001-CITIZENSHIP,P,0.042591,1582
SDB,1,106,E,DE1001-CITIZENSHIP,P,0.04215697,1150
SDB,1,115,E,DE1001-CITIZENSHIP,P,0.05064813,1137
SDB,1,208,E,DE1001-CITIZENSHIP,P,0.03756704,1646
SDB,1,310,E,DE1001-CITIZENSHIP,P,0.03638305,1840
SDB,1,313,E,DE1001-CITIZENSHIP,P,0.04063004,1411
SDB,1,316,E,DE1001-CITIZENSHIP,P,0.04550651,1433
SDB,1,315,B,DE1001-CITIZENSHIP,P,0.04664867,1417
SDB,1,209,E,DE1001-CITIZENSHIP,P,0.03893669,1724
SDB,1,210,E,DE1001-CITIZENSHIP,P,0.04265494,1784
SDB,1,211,E,DE1001-CITIZENSHIP,P,0.03815366,1530
SDB,1,314,E,DE1001-CITIZENSHIP,P,0.04203147,1397
SDB,1,307,E,DE1001-CITIZENSHIP,X,0.003282383,134
SDB,1,309,E,DE1001-CITIZENSHIP,X,0.003567236,158
SDB,1,314,B,DE1001-CITIZENSHIP,X,0.001624036,48
SDB,1,107,E,DE1001-CITIZENSHIP,X,0.004652979,143
SDB,1,316,B,DE1001-CITIZENSHIP,X,0.001633876,48
SDB,1,109,E,DE1001-CITIZENSHIP,X,0.002503769,93
SDB,1,213,E,DE1001-CITIZENSHIP,X,0.001550206,53
SDB,1,308,E,DE1001-CITIZENSHIP,X,0.003801122,162
SDB,1,213,B,DE1001-CITIZENSHIP,X,0.001659346,51
SDB,1,110,E,DE1001-CITIZENSHIP,X,0.001574681,61
SDB,1,111,E,DE1001-CITIZENSHIP,X,0.001026036,32
SDB,1,113,E,DE1001-CITIZENSHIP,X,0.002119853,52
SDB,1,116,E,DE1001-CITIZENSHIP,X,0.002840653,63
SDB,1,114,B,DE1001-CITIZENSHIP,X,0.001687072,35
SDB,1,212,E,DE1001-CITIZENSHIP,X,0.001047358,37
SDB,1,214,E,DE1001-CITIZENSHIP,X,0.002000537,67
SDB,1,215,E,DE1001-CITIZENSHIP,X,0.001813785,57
SDB,1,207,E,DE1001-CITIZENSHIP,X,0.003725203,163
SDB,1,312,E,DE1001-CITIZENSHIP,X,0.000913528,35
SDB,1,315,E,DE1001-CITIZENSHIP,X,0.001884403,61
SDB,1,214,B,DE1001-CITIZENSHIP,X,0.001916661,54
SDB,1,215,B,DE1001-CITIZENSHIP,X,0.001609534,47
SDB,1,112,E,DE1001-CITIZENSHIP,X,0.001437413,36
SDB,1,311,E,DE1001-CITIZENSHIP,X,0.001282991,56
SDB,1,315,B,DE1001-CITIZENSHIP,X,0.00181064,55
SDB,1,209,E,DE1001-CITIZENSHIP,X,0.00243919,108
SDB,1,210,E,DE1001-CITIZENSHIP,X,0.001601951,67
SDB,1,211,E,DE1001-CITIZENSHIP,X,0.0009476073,38
SDB,1,314,E,DE1001-CITIZENSHIP,X,0.001835304,61
SDB,1,106,E,DE1001-CITIZENSHIP,X,0.003299241,90
SDB,1,115,E,DE1001-CITIZENSHIP,X,0.002939997,66
SDB,1,208,E,DE1001-CITIZENSHIP,X,0.002921374,128
SDB,1,310,E,DE1001-CITIZENSHIP,X,0.002649635,134
SDB,1,313,E,DE1001-CITIZENSHIP,X,0.001123013,39
SDB,1,316,E,DE1001-CITIZENSHIP,X,0.001778342,56
SDB,1,108,E,DE1001-CITIZENSHIP,X,0.00867845,272
SDB,1,114,E,DE1001-CITIZENSHIP,X,0.001609047,35
SDB,1,206,E,DE1001-CITIZENSHIP,X,0.003504387,129
SDB,1,307,E,DE1002-DISABLED-CLASS,A,0,0
SDB,1,314,B,DE1002-DISABLED-CLASS,A,0.000879686,26
SDB,1,107,E,DE1002-DISABLED-CLASS,A,0,0
SDB,1,309,E,DE1002-DISABLED-CLASS,A,0,0
SDB,1,213,B,DE1002-DISABLED-CLASS,A,0.0008784773,27
SDB,1,110,E,DE1002-DISABLED-CLASS,A,0,0
SDB,1,213,E,DE1002-DISABLED-CLASS,A,0.0009067244,31
SDB,1,308,E,DE1002-DISABLED-CLASS,A,0,0
SDB,1,111,E,DE1002-DISABLED-CLASS,A,0,0
SDB,1,113,E,DE1002-DISABLED-CLASS,A,0.0004891969,12
SDB,1,116,E,DE1002-DISABLED-CLASS,A,0.001307602,29
SDB,1,316,B,DE1002-DISABLED-CLASS,A,0.001429641,42
SDB,1,109,E,DE1002-DISABLED-CLASS,A,0,0
SDB,1,108,E,DE1002-DISABLED-CLASS,A,0,0
SDB,1,114,E,DE1002-DISABLED-CLASS,A,0.0007355646,16
SDB,1,206,E,DE1002-DISABLED-CLASS,A,0,0
SDB,1,114,B,DE1002-DISABLED-CLASS,A,0.0006748289,14
SDB,1,212,E,DE1002-DISABLED-CLASS,A,0.0003679905,13
SDB,1,214,E,DE1002-DISABLED-CLASS,A,0.001104774,37
SDB,1,215,E,DE1002-DISABLED-CLASS,A,0.001368294,43
SDB,1,214,B,DE1002-DISABLED-CLASS,A,0.001171293,33
SDB,1,215,B,DE1002-DISABLED-CLASS,A,0.001301325,38
SDB,1,112,E,DE1002-DISABLED-CLASS,A,0.0001197844,3
SDB,1,311,E,DE1002-DISABLED-CLASS,A,0,0
SDB,1,207,E,DE1002-DISABLED-CLASS,A,0,0
SDB,1,312,E,DE1002-DISABLED-CLASS,A,5.22016E-05,2
SDB,1,315,E,DE1002-DISABLED-CLASS,A,0.001112106,36
SDB,1,315,B,DE1002-DISABLED-CLASS,A,0.001152225,35
SDB,1,209,E,DE1002-DISABLED-CLASS,A,0,0
SDB,1,210,E,DE1002-DISABLED-CLASS,A,0,0
SDB,1,211,E,DE1002-DISABLED-CLASS,A,0,0
SDB,1,314,E,DE1002-DISABLED-CLASS,A,0.0007822607,26
SDB,1,106,E,DE1002-DISABLED-CLASS,A,0,0
SDB,1,115,E,DE1002-DISABLED-CLASS,A,0.00106909,24
SDB,1,208,E,DE1002-DISABLED-CLASS,A,0,0
SDB,1,310,E,DE1002-DISABLED-CLASS,A,0,0
SDB,1,313,E,DE1002-DISABLED-CLASS,A,0.0004607233,16
SDB,1,316,E,DE1002-DISABLED-CLASS,A,0.001429025,45
SDB,1,307,E,DE1002-DISABLED-CLASS,B,0,0
SDB,1,309,E,DE1002-DISABLED-CLASS,B,0,0
SDB,1,314,B,DE1002-DISABLED-CLASS,B,0.0006428475,19
SDB,1,107,E,DE1002-DISABLED-CLASS,B,0,0
SDB,1,213,B,DE1002-DISABLED-CLASS,B,0.0005856515,18
SDB,1,110,E,DE1002-DISABLED-CLASS,B,0,0
SDB,1,213,E,DE1002-DISABLED-CLASS,B,0.000672731,23
SDB,1,308,E,DE1002-DISABLED-CLASS,B,0,0
SDB,1,316,B,DE1002-DISABLED-CLASS,B,0.0009190551,27
SDB,1,109,E,DE1002-DISABLED-CLASS,B,0,0
SDB,1,111,E,DE1002-DISABLED-CLASS,B,0,0
SDB,1,113,E,DE1002-DISABLED-CLASS,B,0.0006522625,16
SDB,1,116,E,DE1002-DISABLED-CLASS,B,0.0009017946,20
SDB,1,214,B,DE1002-DISABLED-CLASS,B,0.0007808618,22
SDB,1,215,B,DE1002-DISABLED-CLASS,B,0.0006506626,19
SDB,1,112,E,DE1002-DISABLED-CLASS,B,7.985626E-05,2
SDB,1,311,E,DE1002-DISABLED-CLASS,B,0,0
SDB,1,108,E,DE1002-DISABLED-CLASS,B,0,0
SDB,1,114,E,DE1002-DISABLED-CLASS,B,0.0009654285,21
SDB,1,206,E,DE1002-DISABLED-CLASS,B,0,0
SDB,1,114,B,DE1002-DISABLED-CLASS,B,0.0009158392,19
SDB,1,212,E,DE1002-DISABLED-CLASS,B,0.0003962975,14
SDB,1,214,E,DE1002-DISABLED-CLASS,B,0.000776328,26
SDB,1,215,E,DE1002-DISABLED-CLASS,B,0.000890982,28
SDB,1,207,E,DE1002-DISABLED-CLASS,B,0,0
SDB,1,312,E,DE1002-DISABLED-CLASS,B,0.0001044032,4
SDB,1,315,E,DE1002-DISABLED-CLASS,B,0.0008649717,28
SDB,1,106,E,DE1002-DISABLED-CLASS,B,0,0
SDB,1,115,E,DE1002-DISABLED-CLASS,B,0.0008909083,20
SDB,1,208,E,DE1002-DISABLED-CLASS,B,0,0
SDB,1,310,E,DE1002-DISABLED-CLASS,B,0,0
SDB,1,313,E,DE1002-DISABLED-CLASS,B,0.0003743377,13
SDB,1,316,E,DE1002-DISABLED-CLASS,B,0.0009526834,30
SDB,1,315,B,DE1002-DISABLED-CLASS,B,0.0008888596,27
SDB,1,209,E,DE1002-DISABLED-CLASS,B,0,0
SDB,1,210,E,DE1002-DISABLED-CLASS,B,0,0
SDB,1,211,E,DE1002-DISABLED-CLASS,B,0,0
SDB,1,314,E,DE1002-DISABLED-CLASS,B,0.0008725216,29
SDB,1,307,E,DE1002-DISABLED-CLASS,H,0.0006858711,28
SDB,1,309,E,DE1002-DISABLED-CLASS,H,0.0009256751,41
SDB,1,314,B,DE1002-DISABLED-CLASS,H,0.001251861,37
SDB,1,107,E,DE1002-DISABLED-CLASS,H,0.0005856897,18
SDB,1,213,B,DE1002-DISABLED-CLASS,H,0.001464129,45
SDB,1,110,E,DE1002-DISABLED-CLASS,H,0.0009293201,36
SDB,1,213,E,DE1002-DISABLED-CLASS,H,0.001550206,53
SDB,1,308,E,DE1002-DISABLED-CLASS,H,0.001032403,44
SDB,1,316,B,DE1002-DISABLED-CLASS,H,0.00108925,32
SDB,1,109,E,DE1002-DISABLED-CLASS,H,0.0008345897,31
SDB,1,111,E,DE1002-DISABLED-CLASS,H,0.00115429,36
SDB,1,113,E,DE1002-DISABLED-CLASS,H,0.001304525,32
SDB,1,116,E,DE1002-DISABLED-CLASS,H,0.001172333,26
SDB,1,108,E,DE1002-DISABLED-CLASS,H,0.0009571821,30
SDB,1,114,E,DE1002-DISABLED-CLASS,H,0.001057374,23
SDB,1,206,E,DE1002-DISABLED-CLASS,H,0.0008421396,31
SDB,1,214,B,DE1002-DISABLED-CLASS,H,0.001313268,37
SDB,1,215,B,DE1002-DISABLED-CLASS,H,0.001027362,30
SDB,1,112,E,DE1002-DISABLED-CLASS,H,0.001597125,40
SDB,1,311,E,DE1002-DISABLED-CLASS,H,0.001282991,56
SDB,1,114,B,DE1002-DISABLED-CLASS,H,0.001060445,22
SDB,1,212,E,DE1002-DISABLED-CLASS,H,0.001641804,58
SDB,1,214,E,DE1002-DISABLED-CLASS,H,0.001164492,39
SDB,1,215,E,DE1002-DISABLED-CLASS,H,0.001081907,34
SDB,1,207,E,DE1002-DISABLED-CLASS,H,0.001051284,46
SDB,1,312,E,DE1002-DISABLED-CLASS,H,0.001409443,54
SDB,1,315,E,DE1002-DISABLED-CLASS,H,0.001142998,37
SDB,1,315,B,DE1002-DISABLED-CLASS,H,0.001152225,35
SDB,1,209,E,DE1002-DISABLED-CLASS,H,0.001016329,45
SDB,1,210,E,DE1002-DISABLED-CLASS,H,0.001338944,56
SDB,1,211,E,DE1002-DISABLED-CLASS,H,0.001321663,53
SDB,1,314,E,DE1002-DISABLED-CLASS,H,0.001263652,42
SDB,1,106,E,DE1002-DISABLED-CLASS,H,0.0008431394,23
SDB,1,115,E,DE1002-DISABLED-CLASS,H,0.001202726,27
SDB,1,208,E,DE1002-DISABLED-CLASS,H,0.0008672829,38
SDB,1,310,E,DE1002-DISABLED-CLASS,H,0.0009491231,48
SDB,1,313,E,DE1002-DISABLED-CLASS,H,0.001353375,47
SDB,1,316,E,DE1002-DISABLED-CLASS,H,0.001047952,33
SDB,1,307,E,DE1002-DISABLED-CLASS,I,0,0
SDB,1,314,B,DE1002-DISABLED-CLASS,I,0,0
SDB,1,107,E,DE1002-DISABLED-CLASS,I,0,0
SDB,1,213,E,DE1002-DISABLED-CLASS,I,0,0
SDB,1,308,E,DE1002-DISABLED-CLASS,I,0,0
SDB,1,213,B,DE1002-DISABLED-CLASS,I,0,0
SDB,1,110,E,DE1002-DISABLED-CLASS,I,0,0
SDB,1,309,E,DE1002-DISABLED-CLASS,I,0,0
SDB,1,111,E,DE1002-DISABLED-CLASS,I,0,0
SDB,1,113,E,DE1002-DISABLED-CLASS,I,0,0
SDB,1,116,E,DE1002-DISABLED-CLASS,I,0,0
SDB,1,316,B,DE1002-DISABLED-CLASS,I,0,0
SDB,1,109,E,DE1002-DISABLED-CLASS,I,0,0
SDB,1,108,E,DE1002-DISABLED-CLASS,I,0,0
SDB,1,114,E,DE1002-DISABLED-CLASS,I,0,0
SDB,1,206,E,DE1002-DISABLED-CLASS,I,0,0
SDB,1,214,B,DE1002-DISABLED-CLASS,I,0,0
SDB,1,215,B,DE1002-DISABLED-CLASS,I,0,0
SDB,1,112,E,DE1002-DISABLED-CLASS,I,0,0
SDB,1,311,E,DE1002-DISABLED-CLASS,I,0,0
SDB,1,114,B,DE1002-DISABLED-CLASS,I,0,0
SDB,1,212,E,DE1002-DISABLED-CLASS,I,0,0
SDB,1,214,E,DE1002-DISABLED-CLASS,I,0,0
SDB,1,215,E,DE1002-DISABLED-CLASS,I,0,0
SDB,1,207,E,DE1002-DISABLED-CLASS,I,0,0
SDB,1,312,E,DE1002-DISABLED-CLASS,I,0,0
SDB,1,315,E,DE1002-DISABLED-CLASS,I,0,0
SDB,1,106,E,DE1002-DISABLED-CLASS,I,0,0
SDB,1,115,E,DE1002-DISABLED-CLASS,I,0,0
SDB,1,208,E,DE1002-DISABLED-CLASS,I,0,0
SDB,1,310,E,DE1002-DISABLED-CLASS,I,0,0
SDB,1,313,E,DE1002-DISABLED-CLASS,I,0,0
SDB,1,316,E,DE1002-DISABLED-CLASS,I,0,0
SDB,1,315,B,DE1002-DISABLED-CLASS,I,0,0
SDB,1,209,E,DE1002-DISABLED-CLASS,I,0,0
SDB,1,210,E,DE1002-DISABLED-CLASS,I,0,0
SDB,1,211,E,DE1002-DISABLED-CLASS,I,0,0
SDB,1,314,E,DE1002-DISABLED-CLASS,I,0,0
SDB,1,307,E,DE1002-DISABLED-CLASS,L,0.00590339,241
SDB,1,309,E,DE1002-DISABLED-CLASS,L,0.006411993,284
SDB,1,213,E,DE1002-DISABLED-CLASS,L,0.008628506,295
SDB,1,308,E,DE1002-DISABLED-CLASS,L,0.006475985,276
SDB,1,314,B,DE1002-DISABLED-CLASS,L,0.009236704,273
SDB,1,107,E,DE1002-DISABLED-CLASS,L,0.005564052,171
SDB,1,213,B,DE1002-DISABLED-CLASS,L,0.008524483,262
SDB,1,110,E,DE1002-DISABLED-CLASS,L,0.006014766,233
SDB,1,111,E,DE1002-DISABLED-CLASS,L,0.00718225,224
SDB,1,113,E,DE1002-DISABLED-CLASS,L,0.00896861,220
SDB,1,116,E,DE1002-DISABLED-CLASS,L,0.009378663,208
SDB,1,316,B,DE1002-DISABLED-CLASS,L,0.008884199,261
SDB,1,109,E,DE1002-DISABLED-CLASS,L,0.005465216,203
SDB,1,108,E,DE1002-DISABLED-CLASS,L,0.005998341,188
SDB,1,114,E,DE1002-DISABLED-CLASS,L,0.009654284,210
SDB,1,206,E,DE1002-DISABLED-CLASS,L,0.007742251,285
SDB,1,114,B,DE1002-DISABLED-CLASS,L,0.009447604,196
SDB,1,212,E,DE1002-DISABLED-CLASS,L,0.008916693,315
SDB,1,214,E,DE1002-DISABLED-CLASS,L,0.009972828,334
SDB,1,215,E,DE1002-DISABLED-CLASS,L,0.009482594,298
SDB,1,214,B,DE1002-DISABLED-CLASS,L,0.009973735,281
SDB,1,215,B,DE1002-DISABLED-CLASS,L,0.008218897,240
SDB,1,112,E,DE1002-DISABLED-CLASS,L,0.007706129,193
SDB,1,311,E,DE1002-DISABLED-CLASS,L,0.006621151,289
SDB,1,207,E,DE1002-DISABLED-CLASS,L,0.006810495,298
SDB,1,312,E,DE1002-DISABLED-CLASS,L,0.008091249,310
SDB,1,315,E,DE1002-DISABLED-CLASS,L,0.009205771,298
SDB,1,106,E,DE1002-DISABLED-CLASS,L,0.007001723,191
SDB,1,115,E,DE1002-DISABLED-CLASS,L,0.009755446,219
SDB,1,208,E,DE1002-DISABLED-CLASS,L,0.007029556,308
SDB,1,310,E,DE1002-DISABLED-CLASS,L,0.006189073,313
SDB,1,313,E,DE1002-DISABLED-CLASS,L,0.008609767,299
SDB,1,316,E,DE1002-DISABLED-CLASS,L,0.008859956,279
SDB,1,315,B,DE1002-DISABLED-CLASS,L,0.009217803,280
SDB,1,209,E,DE1002-DISABLED-CLASS,L,0.007136888,316
SDB,1,210,E,DE1002-DISABLED-CLASS,L,0.007292463,305
SDB,1,211,E,DE1002-DISABLED-CLASS,L,0.008279095,332
SDB,1,314,E,DE1002-DISABLED-CLASS,L,0.008665042,288
SDB,1,307,E,DE1002-DISABLED-CLASS,M,0.004286694,175
SDB,1,309,E,DE1002-DISABLED-CLASS,M,0.005147656,228
SDB,1,314,B,DE1002-DISABLED-CLASS,M,0.01248477,369
SDB,1,107,E,DE1002-DISABLED-CLASS,M,0.004360134,134
SDB,1,213,B,DE1002-DISABLED-CLASS,M,0.01174557,361
SDB,1,110,E,DE1002-DISABLED-CLASS,M,0.006789199,263
SDB,1,213,E,DE1002-DISABLED-CLASS,M,0.01266489,433
SDB,1,308,E,DE1002-DISABLED-CLASS,M,0.004974307,212
SDB,1,111,E,DE1002-DISABLED-CLASS,M,0.01032448,322
SDB,1,113,E,DE1002-DISABLED-CLASS,M,0.01243375,305
SDB,1,116,E,DE1002-DISABLED-CLASS,M,0.01456398,323
SDB,1,316,B,DE1002-DISABLED-CLASS,M,0.0132412,389
SDB,1,109,E,DE1002-DISABLED-CLASS,M,0.005115227,190
SDB,1,108,E,DE1002-DISABLED-CLASS,M,0.004817816,151
SDB,1,114,E,DE1002-DISABLED-CLASS,M,0.01530894,333
SDB,1,206,E,DE1002-DISABLED-CLASS,M,0.004754014,175
SDB,1,114,B,DE1002-DISABLED-CLASS,M,0.01421961,295
SDB,1,212,E,DE1002-DISABLED-CLASS,M,0.01152093,407
SDB,1,214,E,DE1002-DISABLED-CLASS,M,0.01352602,453
SDB,1,215,E,DE1002-DISABLED-CLASS,M,0.01406479,442
SDB,1,207,E,DE1002-DISABLED-CLASS,M,0.004753634,208
SDB,1,312,E,DE1002-DISABLED-CLASS,M,0.01098844,421
SDB,1,315,E,DE1002-DISABLED-CLASS,M,0.01377776,446
SDB,1,214,B,DE1002-DISABLED-CLASS,M,0.01281323,361
SDB,1,215,B,DE1002-DISABLED-CLASS,M,0.01202014,351
SDB,1,112,E,DE1002-DISABLED-CLASS,M,0.01030146,258
SDB,1,311,E,DE1002-DISABLED-CLASS,M,0.009645345,421
SDB,1,315,B,DE1002-DISABLED-CLASS,M,0.01333289,405
SDB,1,209,E,DE1002-DISABLED-CLASS,M,0.006978793,309
SDB,1,210,E,DE1002-DISABLED-CLASS,M,0.009013963,377
SDB,1,211,E,DE1002-DISABLED-CLASS,M,0.01104711,443
SDB,1,314,E,DE1002-DISABLED-CLASS,M,0.01299756,432
SDB,1,106,E,DE1002-DISABLED-CLASS,M,0.00498552,136
SDB,1,115,E,DE1002-DISABLED-CLASS,M,0.01527908,343
SDB,1,208,E,DE1002-DISABLED-CLASS,M,0.005089581,223
SDB,1,310,E,DE1002-DISABLED-CLASS,M,0.0061693,312
SDB,1,313,E,DE1002-DISABLED-CLASS,M,0.01157567,402
SDB,1,316,E,DE1002-DISABLED-CLASS,M,0.01394093,439
SDB,1,307,E,DE1002-DISABLED-CLASS,O,0,0
SDB,1,309,E,DE1002-DISABLED-CLASS,O,0,0
SDB,1,314,B,DE1002-DISABLED-CLASS,O,0,0
SDB,1,107,E,DE1002-DISABLED-CLASS,O,0,0
SDB,1,213,B,DE1002-DISABLED-CLASS,O,3.25362E-05,1
SDB,1,110,E,DE1002-DISABLED-CLASS,O,0,0
SDB,1,111,E,DE1002-DISABLED-CLASS,O,0,0
SDB,1,113,E,DE1002-DISABLED-CLASS,O,0,0
SDB,1,116,E,DE1002-DISABLED-CLASS,O,0.0002254486,5
SDB,1,316,B,DE1002-DISABLED-CLASS,O,0.0001361563,4
SDB,1,109,E,DE1002-DISABLED-CLASS,O,0,0
SDB,1,213,E,DE1002-DISABLED-CLASS,O,2.924917E-05,1
SDB,1,308,E,DE1002-DISABLED-CLASS,O,0,0
SDB,1,108,E,DE1002-DISABLED-CLASS,O,0,0
SDB,1,114,E,DE1002-DISABLED-CLASS,O,9.194557E-05,2
SDB,1,206,E,DE1002-DISABLED-CLASS,O,0,0
